,Inspector,Violations,Address
2223,MICHELLE MORENO,"['18', '21']",6424  LOOP 410 NW
2224,Daisy Zamora,['30'],13909  NACOGDOCHES RD
2225,William Emminger,[],7137  MILITARY DR W
2226,Kathleen Prenzler,"['21', '27', '28', '29', '30', '42']",9307  BROADWAY
2227,Erica Arreola,['32'],4822  ZARZAMORA ST S
2228,Deborah Liu,"['32', '35', '39', '41']",11040  IH 10 W           #102
2229,Erica Arreola,"['23', '31', '31', '36']",3514  ZARZAMORA ST S
2230,Joe Mokry,"['29', '32', '32', '35']",10614  WESTOVER HILLS
2231,Kathleen Prenzler,"['3', '6', '19', '21', '27', '30', '35', '35', '37']",10124  BROADWAY
2232,Victoria Paredes,['31'],238  MILITARY DR SW    2
2233,MICHELLE MORENO,['21'],1615  BANDERA RD
2234,Daniel Guzman,"['31', '42', '45']",15239  POTEET JDTN FY
2235,William Emminger,[],7034  ALAMO DOWNS
2236,Raul Jimenez,"['18', '47']",1119  VANCE JACKSON
2237,Deborah Liu,[],11030  IH 10 W
2238,Bamba Njie,"['2', '3', '9', '27', '28', '32']",402  CEVALLOS ST W
2239,Daniel Guzman,"['2', '3', '35', '47']",207  CHAVANEAUX W
2240,Erica Llanas,['30'],2909  EVANS RD E
2241,RYAN DAVIS,['31'],14439  MILITARY HY NW
2242,Mario Cavazos,"['2', '9', '21', '22', '34']",425  ZARZAMORA S
2243,Jacob Johanson,['33'],4205  SAN PEDRO AV
2244,Diana Garcia,"['21', '28', '32', '39', '45']",7053  SAN PEDRO AV      #1
2245,Kathleen Prenzler,['30'],2114  MANNIX DR
2246,Benito Zuniga,['40'],10727  MEMORY LN
2247,Benito Zuniga,[],770  RAMSEY RD W
2248,Sean Gilbert,"['18', '23', '28', '30', '39', '41', '45', '47']",12030  BANDERA RD
2249,William Emminger,"['10', '22', '32', '39', '39', '42']",6808  LOOP 410 NW
2250,Raul Jimenez,"['30', '45']",2201  VANCE JACKSON
2251,John Payelle,['19'],23881  IH 10 W
2252,MICHELLE MORENO,"['21', '32', '34']",4319  CALLAGHAN RD
2253,John Payelle,[],5050  DE ZAVALA RD
2254,Bernard Capdeboscq,"['9', '32', '34', '39', '46']",4401  RITTIMAN RD
2255,RYAN DAVIS,[],11825  WEST AV
2256,Joe Mokry,[],9019  DUGAS
2257,Bamba Njie,"['2', '3', '9', '34', '36', '45']",527  CEVALLOS ST W
2258,Lauren Schumacher,"['2', '9', '31', '31', '38', '39', '47']",400  HOUSTON ST E
2259,Valerie Suarez,"['21', '30']",6487  WHITBY RD         #5
2260,John Payelle,[],14100  VANCE JACKSON
2261,Kacie Patrick,"['10', '15', '18', '29', '35', '36', '37', '39', '39', '39', '45', '47', '47']",18730  STONE OAK PY      # 108
2262,Erica Llanas,['30'],22710  ROAN PARK
2263,Daisy Zamora,"['21', '22', '30', '42']",10806  PERRIN BEITEL
2264,MICHELLE MORENO,"['18', '21']",4396  CALLAGHAN RD
2265,Bernard Capdeboscq,"['23', '34', '45', '46']",3945  EISENHAUER RD
2266,Benito Zuniga,[],770  RAMSEY RD W
2267,Cicily Martinez,[],3200  MC CULLOUGH AV
2268,Valerie Suarez,"['21', '30', '31', '33']",5422  BABCOCK RD
2269,Daisy Zamora,"['21', '30']",10811  PERRIN BEITEL
2270,RYAN DAVIS,"['21', '22', '47']",14439  MILITARY HY NW
2271,Jacob Johanson,[],603  HILDEBRAND E
2272,Amanda Cantu,"['18', '21', '30', '46']",302  ROLAND AV
2273,Daisy Zamora,"['21', '30', '42', '45', '45']",3003  THOUSAND OAKS
2274,RYAN DAVIS,"['44', '46']",11825  WEST AV
2275,Diana Garcia,"['28', '29', '30', '35', '36', '38', '39']",4600  BLANCO RD
2276,RYAN DAVIS,"['37', '37', '39']",11791  WEST AV
2277,Joe Mokry,[],2120  ELLISON DR N
2278,Cicily Martinez,"['5', '10', '30', '31', '31', '33']",2023  MCCULLOUGH AVE
2279,Fermin Garza,"['30', '42', '45']",8214  CULEBRA RD
