,Inspector,Violations,Address
0,Sumner Bumgardner,"['10', '14', '21', '28', '29', '36']",107  9TH ST
1,Jeffrey Carrizales,['7'],3703  COLONY DR
2,Cicily Martinez,"['22', '29', '45']",2524  MAIN AV N
3,Kassandra Aguilar,"['2', '18', '21', '28', '39', '42']",600  SANTA ROSA S
4,Lauren Schumacher,"['10', '28', '29', '29', '30', '31', '33', '35', '40']",902  HOUSTON ST E
5,William Emminger,"['10', '42', '46']",6859  HWY 90 W
6,Sean Gilbert,"['19', '30', '31', '47']",11848  BANDERA RD
7,Lauren Schumacher,"['28', '40']",849  COMMERCE ST E
8,Mario Cavazos,"['2', '3', '9', '10', '20', '21', '24', '28', '29', '29', '32', '33', '33', '34', '40', '42', '45', '46', '47']",3831  COMMERCE ST W
9,Monica Caballero,"['30', '32']",766  OLD HWY 90 W      #1
10,Kassandra Aguilar,"['2', '21', '27', '30']",620  SANTA ROSA S
11,Debra Hernandez,"['2', '19', '30', '31', '32', '35', '37']",603  ZARZAMORA ST N
12,Lauren Schumacher,"['7', '10', '31', '37', '39', '39', '39']",849  COMMERCE ST E
13,Jacob Johanson,['31'],571  ELEANOR AV
14,Mario Cavazos,"['2', '3', '9', '24', '26', '28', '30', '33', '34', '41', '42', '45', '46', '47']",847  GEN MCMULLEN S
15,Debra Hernandez,"['2', '43', '45']",118  GEN MCMULLEN N
16,Debra Hernandez,"['2', '21', '30', '37']",2100  CULEBRA RD
17,Sean Gilbert,"['2', '18', '18', '21', '22', '24', '27', '30']",11842  BANDERA RD
18,Bernard Capdeboscq,"['18', '31', '31', '35', '35', '42', '45', '45']",5580  WALZEM RD
19,William Emminger,"['10', '24', '29', '33', '34', '39', '39', '42', '42', '45', '45', '46']",6801  NEW HWY 90 W
20,Jeffrey Carrizales,"['7', '21', '28', '38']",3727  COLONY DR
21,Lauren Schumacher,"['14', '23', '45', '47']",849  COMMERCE ST E
22,Rebecca Vera,"['21', '29', '32', '36']",1015  PLEASANTON RD
23,Jeffrey Carrizales,"['21', '25', '27', '27']",8940  WURZBACH RD
24,Monica Caballero,"['19', '30', '37', '42', '45']",1005  OLD HWY 90 W
25,Rebecca Vera,"['42', '43', '47']",2221  MILITARY DR SW
26,Debra Hernandez,"['2', '10', '30', '35']",4811  COMMERCE ST W
27,Sumner Bumgardner,"['18', '28', '30']",411  MARTIN ST E
28,Kassandra Aguilar,"['10', '21', '28', '28', '30', '32']",1110  PRESA ST S
29,Kassandra Aguilar,"['2', '9', '21', '22', '30', '33', '47']",628  SANTA ROSA S
30,Fermin Garza,"['30', '41']",3600  WISEMAN BV
31,Kassandra Aguilar,"['10', '21']",111  SOLEDAD ST        #105
32,Sean Gilbert,['30'],11707  W FM 1604 N
33,John Payelle,"['9', '37', '39', '39', '45']",1  DOMINION DR       #3
34,Sumner Bumgardner,"['31', '34', '43', '46', '47']",1614  ST MARYS N
35,Jacob Johanson,[],825  HILDEBRAND W
36,John Payelle,"['19', '21', '47']",17627  LA CANTERA PKW
37,Cicily Martinez,"['3', '9', '45']",333  SAN PEDRO AV
38,Sean Gilbert,"['21', '22', '30']",11652  BANDERA RD
39,Bernard Capdeboscq,"['38', '39', '45']",5410  WALZEM RD
40,Sumner Bumgardner,['18'],103  9TH ST
41,Debra Hernandez,['33'],1822  ZARZAMORA ST N
42,Debra Hernandez,"['2', '37']",1512  BANDERA RD
43,Lauren Schumacher,"['9', '18', '28', '31', '37', '37', '39', '39', '39', '45', '47']",2030  ALAMO ST S
44,Nathan Balfour,[],7023  HAUSMAN RD W
45,Bamba Njie,"['2', '3', '22', '29', '36']",1002  LAREDO ST S
46,Fermin Garza,"['30', '32', '45']",8333  CULEBRA RD        #203
47,Nathan Balfour,[],5622  UTEX BV
48,Debra Hernandez,"['7', '10', '19', '23', '27', '29', '31', '42', '45']",2800  CULEBRA RD
49,Daisy Zamora,['30'],17307  BULVERDE RD
50,Erica Llanas,"['30', '47']",15033  NACOGDOCHES RD
51,Jacob Johanson,"['14', '18', '21', '41']",4310  BLANCO RD         #2
52,Debra Hernandez,"['2', '19', '22', '31', '42', '42']",4645  COMMERCE ST W
53,Sean Gilbert,"['10', '22', '30', '32', '42', '47']",9259  N 1604 W
54,Fermin Garza,['30'],9855  WESTOVER HILLS
55,William Emminger,"['34', '34', '45', '45', '45']",7436  MILITARY DR W
56,Daniel Guzman,"['2', '3', '21', '31', '37']",2310  MILITARY DR SW    424
57,Sumner Bumgardner,"['10', '21', '29', '43']",2503  BROADWAY
58,John Payelle,"['9', '18', '19', '39']",17623  LA CANTERA PKW
59,Bernard Capdeboscq,[],1710  AUSTIN HWY
60,Bamba Njie,"['2', '3', '18', '19', '25', '29', '32', '34', '45']",1014  ALAMO ST S
61,William Emminger,[],7428  MILITARY DR W     #J
62,John Payelle,"['2', '18', '21']",22211  IH 10 W
63,Sumner Bumgardner,['47'],2718  ST MARYS N
64,Daniel Guzman,"['2', '3', '41', '42', '45']",7833  IH 35 S
65,William Emminger,['30'],7422  MILITARY DR W
66,Mario Cavazos,"['2', '4', '47']",5106  COMMERCE ST W
67,Lauren Schumacher,"['2', '7', '10', '29', '37', '37', '37', '39', '39', '40', '42', '42', '45', '45']",123  LOSOYA            #6
68,Jeffrey Carrizales,"['1', '1', '1', '6', '6', '7', '7', '23', '23', '27', '27', '27', '28', '28', '28', '28', '29', '29', '33', '33', '37', '37', '39', '39']",5152  FREDSBG RD        100
69,Sean Gilbert,"['1', '18', '18', '34', '36', '37', '37']",10927  CULEBRA RD
70,Monica Caballero,"['30', '37']",2231  CASTROVILLE RD
71,Rebecca Vera,"['32', '37', '47']",2135  MILITARY DR SW
72,Kassandra Aguilar,"['2', '6', '10', '14', '14', '22', '34', '35', '37', '42']",2646  IH 35 N
73,Valerie Suarez,"['21', '28', '30', '31', '31', '33', '42', '47']",10350  BANDERA RD        200
74,Valerie Suarez,"['18', '21', '28', '30', '35', '39', '40']",6125  CALLAGHAN RD
75,Daniel Guzman,"['2', '3', '43']",7811  IH 35 S
76,Lauren Schumacher,"['2', '9', '10', '10', '45', '45']",112  COLLEGE ST
77,Monica Caballero,"['30', '37']",1318  CUPPLES RD
78,Sean Gilbert,['30'],9123  N FM 1604 W       #103
79,Sean Gilbert,['30'],11600  BANDERA RD        #114
80,William Emminger,"['29', '37', '40', '41', '45', '46', '46']",2402  PINN RD
81,Cicily Martinez,"['15', '21', '30', '31', '35']",2512  MAIN AV N
82,Mario Cavazos,"['2', '3', '4', '32', '34', '39', '42', '42', '44', '45']",907  COMMERCE ST W
83,Jacob Johanson,['21'],1418  AUSTIN HWY
84,Mario Cavazos,"['2', '3', '33', '46', '47']",822  19TH ST SW
85,Jeffrey Carrizales,"['2', '3', '9', '9', '10', '10', '14', '18', '18', '19', '19', '29', '29', '33', '35', '37', '39', '39', '45', '45']",5115  FREDSBG RD
86,Sumner Bumgardner,"['29', '43', '45']",2803  ST MARYS N
87,Rebecca Vera,[],6020  FLORES ST S
88,Rebecca Vera,['32'],1115  MILITARY DR SE
89,Sean Gilbert,"['19', '21', '30', '39', '42', '47']",11309  BANDERA RD
90,Jacob Johanson,"['3', '10', '28', '32', '32', '42', '43', '43']",145  HILDEBRAND E
91,Bernard Capdeboscq,"['9', '15', '28', '37', '45', '45']",5102  RITTIMAN RD
92,Fermin Garza,"['10', '30', '32', '42', '45']",7507  POTRANCO RD
93,Sumner Bumgardner,"['21', '43', '45']",2926  ST MARYS N
94,Bernard Capdeboscq,[],2222  AUSTIN HWY
95,Jacob Johanson,"['10', '21']",1410  AUSTIN HWY
96,Daniel Guzman,"['2', '39', '42']",2805  COMMERCIAL AV
97,Sumner Bumgardner,['47'],306  AUSTIN ST
98,Sumner Bumgardner,"['21', '28', '30']",220  BROADWAY
99,Bamba Njie,"['1', '2', '3', '29', '39', '41']",342  HOUSTON ST W
100,Rebecca Vera,[],5656  IH 35 S           #C
101,Fermin Garza,"['30', '31', '32', '42', '45']",7350  TEZEL RD          #103
102,Daniel Guzman,"['31', '45']",2310  MILITARY DR SW    424
103,Fermin Garza,"['20', '21', '30', '34', '44', '45', '46']",7605  TEZEL RD
104,Bernard Capdeboscq,"['18', '21', '22', '25', '32']",5106  RANDOLPH BV
105,Kassandra Aguilar,"['2', '31', '42']",601  ST MARYS S
106,Adan Zamora,"['30', '32', '36', '37', '39', '42', '45', '47']",1722  RIGSBY AV
107,Jacob Johanson,"['18', '18', '21', '22', '31', '31', '42', '43']",727  HILDEBRAND W
108,Jacob Johanson,"['15', '21', '39']",1518  AUSTIN HWY        17
109,Kassandra Aguilar,"['2', '21', '22', '29', '30', '35']",100  DURANGO ST W
110,Kassandra Aguilar,"['2', '10', '21', '22', '23', '30']",900  DOLOROSA
111,Lauren Schumacher,"['10', '29', '35', '36', '36', '37', '38', '39', '39', '39', '39', '39']",517  PRESA ST N
112,Rebecca Vera,['3'],2911  ROOSEVELT AV
113,Daniel Guzman,"['2', '3', '14', '23', '31', '42', '45']",7863  IH 35 S
114,Benito Zuniga,"['7', '9', '14', '15', '18', '18', '18', '29', '31', '32', '32', '35', '35', '39', '39', '42', '42', '47', '47']",7212  BLANCO RD         #12
115,Bernard Capdeboscq,"['18', '18', '45']",4403  RITTIMAN RD
116,Valerie Suarez,"['18', '21', '22', '29', '30', '31', '33', '42', '42']",7530  BANDERA RD        #138
117,Kassandra Aguilar,"['2', '30', '45']",2404  HOUSTON ST E
118,Jacob Johanson,"['18', '18', '21']",118  MT CALVARY DR
119,Lauren Schumacher,"['2', '7', '10', '10', '28', '34', '39', '39', '39', '39', '39', '45', '45', '45']",111  CROCKETT ST W
120,Valerie Suarez,"['9', '21', '22', '30', '34', '35', '40', '42']",4788  LOOP 410 NW
121,Daniel Guzman,"['29', '37']",7835  IH 35 S
122,Nathan Balfour,[],5999  DE ZAVALA RD      111
123,Mario Cavazos,"['2', '3', '33']",1  HAVEN FOR HOPE
124,Mario Cavazos,"['2', '3', '5', '10', '23']",1  HAVEN FOR HOPE
125,Bamba Njie,"['2', '3', '18']",1315  ST MARYS S
126,Bernard Capdeboscq,"['10', '14', '18', '19', '22', '28', '29', '31', '32', '34', '36', '38', '39', '43', '45']",5567  RANDOLPH BV
127,Sumner Bumgardner,[],2424  BROADWAY
128,Lauren Schumacher,"['10', '23', '29', '47']",420  ALAMO ST S
129,Lauren Schumacher,"['31', '35', '37', '37', '39', '47', '47']",101  ALAMO PZ          #101
130,Benito Zuniga,['33'],9710  AIRPORT BV
131,Rebecca Vera,"['43', '45', '47']",1503  MILITARY DR SW
132,Victoria Paredes,[],2246  MILITARY DR SE
133,Daniel Guzman,['2'],7719  IH 35 S
134,Jacob Johanson,['23'],6418  NEW BRNFLS N
135,Amanda Cantu,"['9', '30', '40']",333  ROLAND AVE
136,Raul Jimenez,"['9', '24', '33', '45', '45']",2803  VANCE JACKSON
137,Nathan Balfour,"['32', '39']",22015  IH 10 W
138,Valerie Suarez,"['17', '21', '22', '29', '30', '33', '34', '45']",5996  WHITBY RD
139,Kathleen Prenzler,"['21', '29', '30']",4139  BRIARGLEN DR
140,MICHELLE MORENO,"['21', '22', '27']",1  CAMINO SANTA M
141,Benito Zuniga,"['22', '42', '42']",27  LOOP 410 NE
142,Bernard Capdeboscq,[],12111  O CONNOR RD
143,Erica Arreola,[],2801  NOGALITOS ST
144,Amanda Cantu,[],5327  NEW SULPHUR SP
145,Adan Zamora,['30'],103  GOLIAD RD
146,Bernard Capdeboscq,"['18', '18', '36', '45']",5663  RANDOLPH BLVD
147,Nathan Balfour,"['28', '30', '31', '32']",6565  BABCOCK RD        #15
148,Bernard Capdeboscq,"['18', '32', '32', '34', '45', '45', '45', '45']",118  WEIDNER RD N
149,Juanicia Page,"['2', '9', '18', '28']",7628  MARBACH RD
150,Raul Jimenez,"['42', '47']",7750  BRIARIDGE DR
151,Lauren Schumacher,['29'],226  ST MARYS N
152,Deborah Liu,[],5523  BABCOCK RD
153,Victoria Paredes,"['28', '46']",2611  MILITARY DR SE
154,Kathleen Prenzler,"['2', '3', '7', '18', '21', '27', '29', '47', '47', '47']",2515  AUSTIN HWY
155,Daniel Guzman,"['2', '3', '42', '46']",7707  IH 35 S
156,Adan Zamora,"['30', '32', '39', '42']",4315  GEVERS ST S
157,Amanda Cantu,"['9', '18', '18', '21', '22', '30', '31', '32', '35', '37', '37', '38', '42', '45', '46', '47']",2203  LOOP 410 SE
158,Bamba Njie,"['2', '29']",516  FLORES ST S
159,Lauren Schumacher,"['2', '19', '28', '39', '43', '45']",408  HOUSTON ST E
160,Benito Zuniga,"['7', '21', '22', '31', '42', '42']",94  LOOP 410 NE
161,William Hudson,[],1401  N FM 1604 W       #105
162,Fermin Garza,"['7', '32', '35', '42']",9080  GUILBEAU RD
163,William Emminger,"['10', '33', '39', '39', '42', '45', '45']",7210  LOOP 410 NW
164,Raul Jimenez,"['18', '21', '28', '30', '39', '46', '47']",8015  CALLAGHAN RD
165,Diana Garcia,"['28', '30', '32', '35', '37', '39', '41', '45', '47']",842  LOOP 410 NW       #115
166,Nathan Balfour,[],12930  IH 10 W
167,Jacob Johanson,"['9', '18', '19', '21', '29', '30', '31', '32', '32', '32', '34', '36', '37', '37', '38', '39', '42', '43', '45']",3304  BROADWAY
168,Debra Hernandez,"['2', '30', '31']",3201  POPLAR ST W
169,Valerie Suarez,"['9', '19', '21', '22', '28', '30', '33', '39', '39', '47']",5530  BABCOCK RD
170,Raul Jimenez,"['2', '14', '29', '42']",8005  CALLAGHAN RD
171,Deborah Liu,"['18', '33']",2535  BABCOCK RD
172,Rebecca Vera,"['34', '42', '43', '45', '45', '45', '46']",183  MILITARY DR SW
173,Nathan Balfour,[],5803  N FM 1604 W
174,Jeffrey Carrizales,"['9', '9', '27', '27']",5100  FREDSBG RD
175,Kathleen Prenzler,"['3', '30', '37', '37', '39']",2367  AUSTIN HWY
176,Valerie Suarez,"['18', '18', '19', '21', '30', '31', '32', '32', '32', '32', '34', '39', '40', '42', '42', '45', '45']",5822  BABCOCK RD
177,William Emminger,"['21', '32', '39', '39', '39']",6050  INGRAM RD
178,John Payelle,"['19', '21']",5235  DE ZAVALA RD
179,Kathleen Prenzler,"['10', '21', '30', '35', '35', '37', '47']",8631  BROADWAY
180,Daisy Zamora,['30'],12007  PERRIN BEITEL
181,Jeffrey Carrizales,"['10', '10', '10', '19', '19', '32', '34', '34', '37', '37', '37', '37', '45', '45', '45', '46', '46', '46']",4081  MEDICAL DR
182,Nathan Balfour,"['19', '34', '42', '42', '42', '45', '45', '45', '45']",6565  BABCOCK RD        #15
183,Bamba Njie,"['2', '3', '28', '31', '33', '34', '36', '43', '45', '47']",212  FLORES ST S
184,Diana Garcia,"['30', '45']",999  BASSE E
185,William Hudson,[],1207  N FM 1604 W       #103
186,William Hudson,"['32', '35']",1160  N 1604 W
187,Lauren Schumacher,"['10', '28', '31', '35', '39', '39']",245  COMMERCE ST E     #400
188,Erica Llanas,"['9', '9', '18', '28', '30', '42', '42', '43', '45', '47']",16109  NACOGDOCHES RD
189,Adan Zamora,"['27', '30', '34', '42', '45']",529  FAIR AV
190,John Payelle,"['21', '31', '47']",18403  RIM DR
191,Bernard Capdeboscq,"['18', '19', '29', '31', '31', '31', '45', '46']",5418  BREWSTER ST
192,Debra Hernandez,"['2', '30']",311  ST CLOUD RD
193,William Hudson,[],1305  N FM 1604 W
194,Erica Llanas,"['22', '30', '42', '42', '43', '46', '47']",16401  NACOGDOCHES RD
195,MICHELLE MORENO,"['10', '21', '22', '27']",1  CAMINO SANTA M
196,MICHELLE MORENO,"['21', '22', '33']",1  CAMINO SANTA M
197,Rebecca Vera,['36'],1935  MILITARY DR SW    #105
198,Lauren Schumacher,"['19', '35', '36', '47']",200  HOUSTON ST E
199,MICHELLE MORENO,"['15', '21', '22', '31']",1  CAMINO SANTA M
200,Bamba Njie,"['2', '15']",516  FLORES ST S
201,Diana Garcia,"['22', '28', '30', '32', '36', '45']",7339  SAN PEDRO AV
202,Kathleen Prenzler,"['10', '18', '21', '22', '24', '26', '26', '26', '28', '29', '29', '30', '35', '39', '40', '41', '45', '47', '47', '47']",1002  LOOP 410 NE
203,Juanicia Page,"['22', '28', '31', '36', '39', '39']",3735  MILITARY DR SW
204,Kathleen Prenzler,"['1', '3', '6', '11', '18', '18', '21', '30', '37', '39', '45']",1610  LOOP 410 NE
205,John Payelle,"['6', '24', '26', '34', '39', '39', '39', '42', '43', '45', '47', '47']",24116  IH 10 W
206,Bamba Njie,"['2', '3', '9', '15', '31', '36', '45']",205  GUENTHER ST E
207,Victoria Paredes,"['9', '31']",4226  MILITARY DR SE    #8
208,Jacob Johanson,"['2', '14', '18', '18', '21']",6322  NEW BRNFLS N
209,Rebecca Vera,"['15', '18', '29', '36']",7015  IH 35 S
210,Erica Llanas,"['9', '44']",16403  NACOGDOCHES RD
211,Adan Zamora,['30'],3151  W W WHITE RD S
212,Raul Jimenez,"['27', '42']",4327  VANCE JACKSON
213,William Emminger,"['10', '10', '38', '39', '41', '42', '45', '45']",6810  LOOP 410 NW
214,Diana Garcia,"['28', '30', '45']",999  BASSE E
215,Erica Llanas,"['30', '35', '47']",22902  US 281 N
216,Lauren Schumacher,"['10', '28', '29']",207  ALAMO PZ
217,Daisy Zamora,"['7', '30', '45', '45']",13202  SCARSDALE DR
218,Victoria Paredes,"['9', '18', '45']",1004  ALAMO ST S
219,Erica Llanas,"['28', '30', '47']",22610  US 281 N
220,Amanda Cantu,"['3', '30', '35', '35', '38', '42', '43', '45', '45']",217  W W WHITE RD S
221,Victoria Paredes,"['9', '31', '36', '42', '43', '46']",6728  FLORES ST S
222,Jacob Johanson,"['1', '9', '32', '39']",3506  ST MARYS N
223,Nathan Balfour,"['1', '19', '34']",15900  LA CANTERA PARKWAY
224,Kathleen Prenzler,"['10', '18', '21', '21', '29', '29', '30', '31', '31', '34', '39', '46', '47', '47']",2635  LOOP 410 NE
225,William Emminger,"['14', '18']",7919  MARBACH RD
226,Jacob Johanson,"['22', '29', '29', '35', '36', '36']",3714  BROADWAY
227,Adan Zamora,"['27', '28', '30', '36', '47']",600  FAIR AV
228,Valerie Suarez,"['21', '22', '29', '30', '31', '31', '32', '32', '39', '42', '43', '45', '46']",6031  CALLAGHAN RD
229,William Emminger,"['10', '10', '32', '32', '39', '42', '45', '46', '47', '47']",6854  INGRAM RD
230,William Emminger,"['31', '31', '34', '39', '41', '42', '46']",7315  MARBACH RD
231,Juanicia Page,"['2', '9', '22', '23', '28', '37', '39']",7150  NEW LAREDO HWY
232,Bernard Capdeboscq,[],5202  EISENHAUER RD
233,Daisy Zamora,"['30', '45', '45', '46', '47', '47']",13202  SCARSDALE DR
234,Juanicia Page,"['28', '33']",8161  LATIGO DR
235,Erica Arreola,"['10', '20', '30']",1115  PROBANDT ST
236,Rebecca Vera,"['3', '37']",7004  ZARZAMORA ST S    #1
237,Bamba Njie,"['2', '3', '6', '41']",646  MAIN AV S
238,Adan Zamora,"['30', '37']",2402  HICKS AV
239,Fermin Garza,"['9', '30', '32', '42', '45']",8839  CULEBRA RD
240,Kathleen Prenzler,"['2', '6', '6', '9', '10', '10', '10', '22', '28', '29', '29', '30', '32', '32', '35', '35', '37', '37', '39', '39', '40', '42', '42', '43', '45', '45', '47']",2235  LOOP 410 NE
241,Mario Cavazos,"['2', '3', '9', '18', '21', '22', '28', '32', '33', '34', '44', '45', '47']",802  ZARZAMORA ST N
242,MICHELLE MORENO,"['2', '9', '10', '15', '18', '21', '22', '27', '28', '29', '31', '32', '33', '34', '37', '45']",1105  BANDERA RD
243,Adan Zamora,"['28', '29', '30', '37', '42', '47']",1619  GOLIAD RD
244,Erica Llanas,['30'],17910  BULVERDE RD
245,Rebecca Vera,"['18', '39', '42', '43', '43', '45', '45', '45', '46']",2227  MILITARY DR SW
246,Juanicia Page,[],7708  MARBACH RD        #1
247,Erica Llanas,"['30', '42', '47']",22806  N US HWY 281
248,Jeffrey Carrizales,"['2', '3', '19', '19', '33', '33', '33']",5403  FREDSBG RD
249,Lauren Schumacher,"['2', '7', '10', '31', '35', '37', '39', '39', '39', '40', '41', '43', '45', '47', '47']",123  LOSOYA            #6
250,Victoria Paredes,"['14', '18', '46']",3322  MILITARY DR SE
251,Diana Garcia,"['28', '29', '30', '31', '35', '36', '38', '45']",255  BASSE E           #310
252,Kathleen Prenzler,"['21', '30', '45']",8620  NEW BRNFLS N
253,Jacob Johanson,"['10', '37']",106  PERSHING AV
254,Daisy Zamora,"['30', '31', '39']",4232  THOUSAND OAKS
255,Lauren Schumacher,"['39', '42']",301  ALAMO PZ
256,Erica Llanas,"['22', '30', '42', '43', '47', '47']",17718  BULVERDE RD
257,John Payelle,"['19', '19', '21', '47']",18415  RIM DR
258,Bernard Capdeboscq,[],5230  EISENHAUER RD
259,Rebecca Vera,['30'],432  ROBERT E LEE
260,Bernard Capdeboscq,[],5933  ROYAL RIDGE DR
261,Raul Jimenez,"['2', '10', '31', '33', '34', '39', '39', '42', '43', '45', '46']",2030  BASSE RD
262,Jacob Johanson,"['21', '22', '35', '35', '45', '45', '47']",2800  US 281 N          112
263,John Payelle,"['9', '21', '39']",24165  IH 10 W
264,Valerie Suarez,"['2', '6', '9', '9', '9', '10', '10', '19', '19', '21', '28', '29', '30', '32', '33', '38', '40', '41', '42', '42', '45', '45', '45', '45', '45']",4987  LOOP 410 NW
265,Jeffrey Carrizales,[],3718  HORIZON HILL
266,Erica Llanas,"['22', '30', '43', '47']",22606  US 281 N
267,Daisy Zamora,[],4252  THOUSAND OAKS
268,Bernard Capdeboscq,"['21', '22', '30', '34', '36', '37', '45', '45']",5626  WALZEM RD
269,Debra Hernandez,"['2', '30']",918  BANDERA RD
270,Nathan Balfour,[],15900  LA CANTERA PARKWAY
271,Bernard Capdeboscq,"['28', '31', '39', '43', '47']",5514  WALZEM RD         1
272,Fermin Garza,"['9', '18', '30', '47']",7627  CULEBRA RD        #105
273,Raul Jimenez,"['10', '10', '14', '15', '27', '28', '29', '33', '34', '42']",3822  FREDSBG RD
274,Amanda Cantu,"['9', '15', '18', '20', '32', '35', '37', '42', '45', '45', '45', '45', '47']",4703  RIGSBY AV
275,Kathleen Prenzler,[],2015  LOOP 410 NE
276,Kathleen Prenzler,"['10', '10', '10', '11', '21', '22', '22', '29', '29', '30', '32', '39', '43', '45', '45', '46', '47', '47']",8700  POST OAK LN
277,Bamba Njie,"['2', '3', '9', '18', '28', '36']",108  KING WILLIAM
278,Kathleen Prenzler,"['18', '21', '30', '40']",2383  LOOP 410 NE       #34
279,Mario Cavazos,"['3', '4', '33']",701  ZARZAMORA ST S
280,Fermin Garza,"['32', '34', '39']",9660  WESTOVER HILLS
281,Fermin Garza,"['21', '30', '34', '42']",8839  CULEBRA RD
282,Diana Garcia,"['7', '22', '30', '45']",8500  JONES MALTSBRG
283,Debra Hernandez,"['2', '30']",918  BANDERA RD
284,Rebecca Vera,"['42', '45']",2343  MILITARY DR SW
285,John Payelle,[],18303  IH 10 W
286,Amanda Cantu,"['42', '45', '45']",5075  RIGSBY AV
287,Nathan Balfour,[],15900  LA CANTERA PARKWAY
288,Jeffrey Carrizales,[],7959  FREDSBG RD
289,Mario Cavazos,"['2', '3', '21', '30', '32', '33', '43', '45', '46']",502  ZARZAMORA ST S
290,Nathan Balfour,[],6480  BABCOCK RD
291,Monica Caballero,"['30', '43', '45', '45', '46']",2103  CASTROVILLE RD
292,Daniel Guzman,"['2', '42', '45']",3319  PLEASANTON RD
293,Erica Llanas,"['35', '47']",22106  US HWY 281 N
294,Nathan Balfour,['32'],6402  DE ZAVALA RD
295,Mario Cavazos,"['2', '10', '14', '22', '31', '31', '36', '47']",2424  GUADALUPE ST
296,Jeffrey Carrizales,[],4730  FREDSBG RD
297,Adan Zamora,['30'],3502  MILITARY DR SE
298,Bernard Capdeboscq,['47'],5939  RANDOLPH BLVD
299,Joe Mokry,[],2211  LOOP 410 SW       B 1-5
300,Monica Caballero,"['30', '35', '37', '39', '42']",1504  CASTROVILLE RD
301,Bernard Capdeboscq,"['30', '46']",2038  AUSTIN HWY
302,Raul Jimenez,"['29', '33', '33', '34', '37', '39', '45', '45']",2610  WEST AVE
303,Monica Caballero,"['30', '42']",2315  36TH ST SW
304,Joe Mokry,"['24', '31', '46']",2811  LOOP 410 SW
305,Raul Jimenez,"['29', '33', '45']",3202  WEST AV
306,Erica Llanas,"['30', '31', '35', '42', '43', '47']",22810  US 281 N
307,Bernard Capdeboscq,"['28', '29', '39', '42']",8001  MIDCROWN DR
308,John Payelle,[],24165  IH 10 W
309,Jeffrey Carrizales,"['2', '3', '4', '15', '19', '19', '19', '30']",7550  IH 10 W           #130
310,Victoria Paredes,[],1225  CHAVANEAUX E
311,Bamba Njie,"['2', '3', '9', '10', '34', '36']",130  MAIN PLAZA
312,Amanda Cantu,"['22', '30', '31']",6111  IH 10 E
313,Lauren Schumacher,"['39', '40']",809  RIVERWALK E
314,MICHELLE MORENO,"['7', '21', '31', '39']",6301  LOOP 410 NW       #VC11
315,Valerie Suarez,"['18', '21', '22', '29', '30', '33', '34', '43', '45']",5757  NORTH KNOLL
316,Mario Cavazos,"['2', '3', '9', '21', '22', '28', '29', '30', '33', '41', '42', '45', '47']",1701  LAREDO ST S
317,Mario Cavazos,"['2', '3', '9', '28', '29', '33', '47']",1322  LAREDO ST S
318,Erica Arreola,"['2', '21', '22', '23', '27', '29', '47']",1913  FLORES ST S
319,Debra Hernandez,"['2', '30']",3333  FREDSBG RD
320,Monica Caballero,"['30', '47']",101  NEW LAREDO HWY
321,Jacob Johanson,"['31', '39', '41', '45', '47']",1306  BASSE RD
322,Valerie Suarez,"['18', '21', '28', '30', '32', '33', '37', '39', '42', '42', '45', '45']",8806  BANDERA RD
323,Fermin Garza,"['30', '41', '45']",8030  CULEBRA RD
324,Juanicia Page,"['14', '15', '21', '33', '35', '39', '39', '41', '42', '45', '45']",7055  MILITARY DR W
325,Monica Caballero,"['30', '45']",1168  CUPPLES RD
326,Joe Mokry,"['6', '10', '14']",9902  POTRANCO RD       #115
327,John Payelle,['21'],24165  IH 10 W
328,Lauren Schumacher,[],203  MARKET ST W
329,William Emminger,"['32', '35', '35', '39']",7735  LOOP 410 NW
330,Fermin Garza,"['35', '41']",7272  CULEBRA RD
331,John Payelle,"['9', '22', '31', '35', '37', '38']",5222  DE ZAVALA RD
332,Benito Zuniga,['22'],859  ISOM RD
333,Monica Caballero,"['19', '30']",1435  FRIO CITY RD
334,Deborah Liu,"['10', '41']",9919  COLONIAL SQ
335,Joe Mokry,"['30', '35']",10038  POTRANCO RD
336,Nathan Balfour,['42'],15900  LA CANTERA PARKWAY
337,Monica Caballero,"['7', '30', '34']",510  ENRIQUE M BARRERA PKWY
338,Mario Cavazos,"['2', '3', '22', '28', '34', '36', '45', '45', '46', '47']",2629  MARTIN ST W
339,Sumner Bumgardner,"['18', '29', '30']",312  PEARL PY          #01
340,Rebecca Vera,"['21', '29', '42', '42', '45', '45', '46']",3219  MILITARY DR SW
341,MICHELLE MORENO,"['1', '14', '18', '21']",1416  CALLAGHAN RD
342,Adan Zamora,['30'],4110  NEW BRNFLS S
343,Kathleen Prenzler,"['14', '18', '21', '30', '45', '47', '47']",5310  THOUSAND OAKS
344,Raul Jimenez,"['3', '7', '10', '29', '29', '29', '31', '32', '34', '42', '45', '45', '46']",3017  BLANCO RD
345,Juanicia Page,"['18', '19', '28', '28', '37', '37', '39']",6060  OLD PEARSALL
346,Adan Zamora,['30'],511  FAIR AV
347,John Payelle,"['18', '18', '21', '35']",23535  IH 10 W           #2102
348,Adan Zamora,"['2', '6', '22', '27', '30', '37', '43']",2604  HACKBERRY ST S
349,Bamba Njie,"['2', '31']",514  COMMERCE ST W     3
