,inspection_date,inspector,number_of_violations,violations,zip_code,house_numbers,categories,transactions,distance,review_count,longitude,latitude,name,sector,district,total_score,rating,price,establishment_x,establishment_y,address_x,address_y,trimmed_name_x,trimmed_name_y,clean_address_x,clean_address_y,address_distance,name_distance
14,2019-03-19,MICHELLE MORENO,9,"['10', '21', '22', '28', '31', '32', '33', '34', '37']",78238,6420,['Sports Bars'],[],10198.081679711388,33.0,-98.61544,29.468059999999998,Perfect Score,31,D,92,2.5,$,perfect score,Perfect Score,6420 loop 410 nw ,6420 nw lp 410,perfect score,perfect score,lp 410,nw lp 410,3,0
15,2019-11-04,Cicily Martinez,4,"['30', '37', '41', '45']",78201,919,"['Tex-Mex', 'Breakfast & Brunch']","['delivery', 'pickup']",3138.557809320233,145.0,-98.50863220000001,29.466663399999995,Rolando's Super Tacos No 1,35,D,97,3.5,$,rolandos super tacos,Rolando's Super Tacos No 1,919 hildebrand w ,919 w hildebrand ave,rolandos super tacos,rolandos super tacos no 1,hildebrand,w hildebrande,3,5
16,2019-11-04,Cicily Martinez,4,"['30', '37', '41', '45']",78201,919,"['Tex-Mex', 'Breakfast & Brunch']","['pickup', 'delivery']",3138.557809320233,145.0,-98.50863220000001,29.466663399999995,Rolando's Super Tacos No 1,35,D,97,3.5,$,rolandos super tacos,Rolando's Super Tacos No 1,919 hildebrand w ,919 w hildebrand ave,rolandos super tacos,rolandos super tacos no 1,hildebrand,w hildebrande,3,5
17,2019-11-05,Kassandra Aguilar,3,"['10', '35', '43']",78208,1720,['Barbeque'],[],7981.026377420518,25.0,-98.46072099999999,29.439958,Bill Miller Bar-B-Q,20,C,95,3.0,$,bill miller bbq #28,Bill Miller Bar-B-Q,1720 new brnfls n ,1720 n new braunfels,bill miller bbq #28,bill miller barbq,new brnfls,new braunfels,3,6
18,2019-03-11,Nathan Balfour,2,"['42', '42']",78256,15900,['Fast Food'],[],14587.006772257373,42.0,-98.61392,29.5929969,Chick-fil-A,3,A,99,2.5,$,chick fil a,Chick-fil-A,15900 la cantera parkway ,15900 la cantera pkwy,chick fil a,chickfila,la cantera parkway,la cantera pkwy,3,2
19,2019-11-12 00:00:00,Nathan Balfour,2,"['31', '42']",78256,15900,['Fast Food'],[],14587.006772257373,42.0,-98.61392,29.5929969,Chick-fil-A,3,A,97,2.5,$,chick fil a,Chick-fil-A,15900 la cantera parkway ,15900 la cantera pkwy,chick fil a,chickfila,la cantera parkway,la cantera pkwy,3,2
20,2019-07-19,Cicily Martinez,0,[],78212,1621,"['Mexican', 'Breakfast & Brunch', 'Tex-Mex']",['delivery'],5873.329416516217,18.0,-98.49453000000001,29.444640000000003,Vanessa's Mexican Food,35,D,100,3.5,$,vanessa's mexican food,Vanessa's Mexican Food,1621 main av n ,1621 n main ave,vanessa's mexic food,vanessas mexic food,main,n maine,3,1
21,2019-03-08,Sumner Bumgardner,1,['29'],78205,501,['Barbeque'],['delivery'],7627.1667429203935,26.0,-98.4916478,29.4287695,Bill Miller Bar-B-Q,19,C,100,2.5,$,bill miller bbq #51,Bill Miller Bar-B-Q,501 st marys n ,501 n st mary's,bill miller bbq #51,bill miller barbq,st marys,n mary's,3,6
22,2019-07-15,Jacob Johanson,15,"['2', '3', '10', '10', '18', '18', '22', '28', '29', '31', '32', '39', '41', '42', '45']",78212,145,"['Mexican', 'Tex-Mex', 'Breakfast & Brunch']","['pickup', 'delivery']",3759.3735260537615,531.0,-98.49227990000001,29.46674,Taco Taco Cafe,18,B,76,2.5,$,taco taco cafe,Taco Taco Cafe,145 hildebrand e ,145 e hildebrand ave,taco taco cafe,taco taco cafe,hildebrand,e hildebrande,3,0
23,2019-09-17,Sumner Bumgardner,6,"['21', '28', '29', '30', '32', '41']",78212,1222,"['Korean', 'Cafes', 'Chinese']",['delivery'],6348.255594367571,41.0,-98.49359,29.4401,Cypress Cafe,19,C,96,4.5,$,cypress cafe #,Cypress Cafe,1222 main av n ,1222 n main ave,cypress cafe #,cypress cafe,main,n maine,3,2
24,2019-07-15,Jacob Johanson,15,"['2', '3', '10', '10', '18', '18', '22', '28', '29', '31', '32', '39', '41', '42', '45']",78212,145,"['Mexican', 'Tex-Mex', 'Breakfast & Brunch']","['delivery', 'pickup']",3759.3735260537615,531.0,-98.49227990000001,29.46674,Taco Taco Cafe,18,B,76,2.5,$,taco taco cafe,Taco Taco Cafe,145 hildebrand e ,145 e hildebrand ave,taco taco cafe,taco taco cafe,hildebrand,e hildebrande,3,0
25,2019-03-12,MICHELLE MORENO,8,"['10', '15', '18', '34', '36', '39', '42', '45']",78238,6424,['Vietnamese'],['delivery'],10196.243504532447,375.0,-98.61547,29.46855,Pho Ha Long,31,D,89,4.0,$,pho ha long,Pho Ha Long,6424 loop 410 nw ,6424 nw lp 410,pho h long,pho h long,lp 410,nw lp 410,3,0
26,2019-09-26,Nathan Balfour,2,"['32', '42']",78256,15900,"['Bars', 'American (New)', 'Gastropubs']",['delivery'],14414.111624704728,282.0,-98.61096112625891,29.5931670801876,Bar Louie,3,A,97,3.5,$$,bar louie,Bar Louie,15900 la cantera parkway ,15900 la cantera pkwy,bar louie,bar louie,la cantera parkway,la cantera pkwy,3,0
27,2019-06-28,Erica Llanas,5,"['22', '27', '30', '40', '46']",78259,3111,"['Thai', 'Chinese', 'Mongolian']",['delivery'],20011.65959833874,145.0,-98.43696,29.66152,Thai Hut Bistro,14,B,94,4.0,$$,thai hut bistro #3,Thai Hut Bistro,3111 tpc parkway ,3111 tpc pkwy,thai hut bistro #3,thai hut bistro,tpc parkway,tpc pkwy,3,3
28,2019-03-20,Nathan Balfour,3,"['18', '21', '31']",78256,15900,"['Bakeries', 'Desserts', 'Patisserie/Cake Shop']","['delivery', 'pickup']",14534.940001482186,145.0,-98.613948,29.592351,Carlo's Bakery,3,A,93,3.0,$$,carlo's bake shop,Carlo's Bakery,15900 la cantera parkway ,15900 la cantera pkwy,carlo's bake shop,carlos bakery,la cantera parkway,la cantera pkwy,3,6
29,2019-03-20,Nathan Balfour,2,"['31', '39']",78256,15900,['Pizza'],['delivery'],14442.698113916487,418.0,-98.61222,29.592565000000004,Grimaldi's Pizzeria,3,A,97,3.5,$$,grimaldis pizza #,Grimaldi's Pizzeria,15900 la cantera parkway ,15900 la cantera pkwy,grimaldis pizz #,grimaldis pizzeria,la cantera parkway,la cantera pkwy,3,4
30,2019-04-02,Diana Garcia,5,"['18', '19', '30', '39', '45']",78216,618,"['Comedy Clubs', 'Lounges']",[],2909.634985549284,105.0,-98.50249132322979,29.518463701484603,Laugh Out Loud Comedy Club,11,B,92,3.5,$$,laugh out loud comedy club,Laugh Out Loud Comedy Club,618 loop 410 nw ,618 nw lp 410,laugh out loud comedy club,laugh out loud comedy club,lp 410,nw lp 410,3,0
31,2019-10-25,Cicily Martinez,2,"['14', '15']",78212,1621,"['Mexican', 'Breakfast & Brunch', 'Tex-Mex']",['delivery'],5873.329416516217,18.0,-98.49453000000001,29.444640000000003,Vanessa's Mexican Food,35,D,94,3.5,$,vanessa's mexican food,Vanessa's Mexican Food,1621 main av n ,1621 n main ave,vanessa's mexic food,vanessas mexic food,main,n maine,3,1
32,2019-10-25,Cicily Martinez,0,[],78212,1906,"['Pizza', 'Salad', 'Italian']",['delivery'],5594.631901795712,214.0,-98.4939,29.447409999999998,Main Street Pizza & Pasta,35,D,100,4.0,$,main street pizza and pasta,Main Street Pizza & Pasta,1906 main av n ,1906 n main ave,m street pizz and pasta,m street pizz  pasta,main,n maine,3,3
33,2019-04-02,Jacob Johanson,10,"['18', '18', '31', '31', '34', '39', '39', '42', '46', '46']",78212,727,['Mexican'],['delivery'],3208.923646295613,10.0,-98.50529499999999,29.466684000000004,La Cabana de Jalisco,18,B,91,4.5,$,la cabana de jalisco,La Cabana de Jalisco,727 hildebrand w ,727 w hildebrand ave,l caban  jalisco,l caban  jalisco,hildebrand,w hildebrande,3,0
34,2019-06-27,Nathan Balfour,0,[],78256,15900,['Fast Food'],[],14587.006772257373,42.0,-98.61392,29.5929969,Chick-fil-A,3,A,100,2.5,$,chick fil a,Chick-fil-A,15900 la cantera parkway ,15900 la cantera pkwy,chick fil a,chickfila,la cantera parkway,la cantera pkwy,3,2
35,2019-09-18,Erica Arreola,3,"['2', '27', '28']",78204,302,['Brewpubs'],[],10054.759701296529,144.0,-98.5001040995121,29.4048751008494,Künstler Brewing,23,C,93,4.5,$$,kuenstler brewing,Künstler Brewing,302 lachappelle e ,302 e lachapelle,kuenstler brewing,künstler brewing,lachappelle,e lachapelle,3,2
36,2019-06-27,RYAN DAVIS,2,"['10', '19']",78230,13151,['Barbeque'],['delivery'],7935.733616339659,41.0,-98.53795,29.56285,Bill Miller Bar-B-Q,9,A,94,2.5,$,bill miller bbq #29,Bill Miller Bar-B-Q,13151 nw military hy ,13151 nw military hwy,bill miller bbq #29,bill miller barbq,military hwy,nw military hwy,3,6
37,2019-04-02,Cicily Martinez,3,"['9', '20', '45']",78212,1621,"['Mexican', 'Breakfast & Brunch', 'Tex-Mex']",['delivery'],5873.329416516217,18.0,-98.49453000000001,29.444640000000003,Vanessa's Mexican Food,35,D,93,3.5,$,vanessa's mexican food,Vanessa's Mexican Food,1621 main av n ,1621 n main ave,vanessa's mexic food,vanessas mexic food,main,n maine,3,1
38,2019-10-24,Benito Zuniga,1,['7'],78216,611,['Hotels'],[],3229.758567788536,129.0,-98.5024376213551,29.521553000000004,Hilton San Antonio Airport,13,B,97,2.5,$$,hilton san antonio airport,Hilton San Antonio Airport,611 loop 410 nw ,611 nw lp 410,hilt s antonio airport,hilt s antonio airport,lp 410,nw lp 410,3,0
39,2019-03-31,Diana Garcia,1,['30'],78209,7322,"['Mexican', 'Fast Food']",['delivery'],3354.257290976965,49.0,-98.48000078406142,29.4980846832859,Chipotle Mexican Grill,11,B,100,4.0,$,chipotle mexican grill #480,Chipotle Mexican Grill,7322 jones maltsbrg ,7322 jones maltsberger rd,chipotle mexic grill #480,chipotle mexic grill,jones maltsbrg,jones maltsberger,3,5
