,establishment,inspection_date,sector,district,total_score,link,zip_code,address_and_zip,address,separated_address,house_numbers,trimmed_name,split_address,clean_address
339,boiler house grill,2019-01-17,19,C,93,Link,78215,"312 pearl py san antonio, tx 782150",312 pearl py ,"['312', 'pearl', 'py']",312,boiler house grill,pearl py,pearl py
340,bush's chicken,2019-01-17,26,C,93,Link,78211,"3219 military dr sw san antonio, tx 782113617",3219 military dr sw ,"['3219', 'military', 'dr', 'sw']",3219,bush's chicken,military dr sw,militaryw
341,callaghan plaza room & bingo,2019-01-17,31,D,89,Link,78228,"1416 callaghan rd san antonio, tx 782284311",1416 callaghan rd ,"['1416', 'callaghan', 'rd']",1416,callagh plaz room & bingo,callaghan rd,callaghan
342,chick-fil-a # 3068,2019-01-17,24,C,100,Link,78223,"4110 new brnfls s san antonio, tx 782230",4110 new brnfls s ,"['4110', 'new', 'brnfls', 's']",4110,chick-fil- # 3068,new brnfls s,new brnfls
343,circle k #1839,2019-01-17,16,B,92,Link,78233,"5310 thousand oaks san antonio, tx 78233",5310 thousand oaks ,"['5310', 'thousand', 'oaks']",5310,circle k #1839,thousand oaks,thousand oaks
344,culebra meat market #7,2019-01-17,8,A,83,Link,78201,"3017 blanco rd san antonio, tx 782011302",3017 blanco rd ,"['3017', 'blanco', 'rd']",3017,culebr meat market #7,blanco rd,blanco
345,culebra super meat market #3,2019-01-17,32,D,90,Link,78242,"6060 old pearsall san antonio, tx 782420",6060 old pearsall ,"['6060', 'old', 'pearsall']",6060,culebr super meat market #3,old pearsall,old pearsall
346,dollar general #19306,2019-01-17,24,C,98,Link,78210,"511 fair av san antonio, tx 782101301",511 fair av ,"['511', 'fair', 'av']",511,dollar general #19306,fair av,fair
347,double daves pizzaworks,2019-01-17,4,A,94,Link,78257,"23535 ih 10 w san antonio, tx 782570",23535 ih 10 w ,"['23535', 'ih', '10', 'w']",23535,double daves pizzaworks,ih 10 w,ih 10
348,el folklor bakery,2019-01-17,24,C,88,Link,78210,"2604 hackberry st s san antonio, tx 782105043",2604 hackberry st s ,"['2604', 'hackberry', 'st', 's']",2604, folklor bakery,hackberry st s,hackberry
349,el mercado snack bar,2019-01-17,27,C,98,Link,78207,"514 commerce st w san antonio, tx 782078122",514 commerce st w ,"['514', 'commerce', 'st', 'w']",514, mercado snack bar,commerce st w,commerce
350,esquire tavern,2019-01-17,27,C,96,Link,78205,"155 commerce st e san antonio, tx 782052226",155 commerce st e ,"['155', 'commerce', 'st', 'e']",155,esquire tavern,commerce st e,commerce
351,freebird world burrito,2019-01-17,13,B,100,Link,78216,"125 loop 410 nw san antonio, tx 782160",125 loop 410 nw ,"['125', 'loop', '410', 'nw']",125,freebird world burrito,loop 410 nw,loop 410w
352,fruteria cano,2019-01-17,27,C,98,Link,78207,"102 produce row san antonio, tx 782074552",102 produce row ,"['102', 'produce', 'row']",102,fruteri cano,produce row,produce row
353,fruteria mision,2019-01-17,26,C,95,Link,78214,"553 white av e san antonio, tx 782142213",553 white av e ,"['553', 'white', 'av', 'e']",553,fruteri mision,white av e,white
354,gas mart,2019-01-17,17,B,95,Link,78218,"7103 harlow dr san antonio, tx 782182508",7103 harlow dr ,"['7103', 'harlow', 'dr']",7103,gas mart,harlow dr,harlow
355,grimaldi's pizzeria,2019-01-17,18,B,94,Link,78209,"330 basse e san antonio, tx 782090",330 basse e ,"['330', 'basse', 'e']",330,grimaldi's pizzeria,basse e,basse
356,heb #,2019-01-17,26,C,97,Link,78214,"735 military dr sw san antonio, tx 782141642",735 military dr sw ,"['735', 'military', 'dr', 'sw']",735,heb #,military dr sw,militaryw
357,hoppy monk,2019-01-17,12,B,93,Link,78232,"1010 n fm 1604 e san antonio, tx 78232",1010 n fm 1604 e ,"['1010', 'n', 'fm', '1604', 'e']",1010,hoppy monk,n fm 1604 e,n fm 1604
358,houlihans restaurant & bar,2019-01-17,12,B,93,Link,78232,"938 n fm 1604 w san antonio, tx 782320",938 n fm 1604 w ,"['938', 'n', 'fm', '1604', 'w']",938,houlihans restaurant & bar,n fm 1604 w,n fm 1604
359,ihop #1380,2019-01-17,16,B,89,Link,78209,"1227 loop 410 ne san antonio, tx 782091514",1227 loop 410 ne ,"['1227', 'loop', '410', 'ne']",1227,ihop #1380,loop 410 ne,loop 410e
360,jack box #944,2019-01-17,29,D,94,Link,78227,"1214 old hwy 90 w san antonio, tx 782270",1214 old hwy 90 w ,"['1214', 'old', 'hwy', '90', 'w']",1214,jack box #944,old hwy 90 w,old hwy 90
361,jedco food mart #23,2019-01-17,30,D,95,Link,78245,"10102 potranco rd san antonio, tx 782450",10102 potranco rd ,"['10102', 'potranco', 'rd']",10102,jedco food mart #23,potranco rd,potranco
362,jimmy johns #3036,2019-01-17,13,B,100,Link,78216,"13446 us hwy 281 n san antonio, tx 78216",13446 us hwy 281 n ,"['13446', 'us', 'hwy', '281', 'n']",13446,jimmy johns #3036,us hwy 281 n,us hwy 281
363,josephine street diner #,2019-01-17,19,C,91,Link,78215,"400 josephine e san antonio, tx 782151113",400 josephine e ,"['400', 'josephine', 'e']",400,josephine street diner #,josephine e,josephine
364,la michoacana meat market,2019-01-17,8,A,84,Link,78213,"4523 blanco rd san antonio, tx 782131025",4523 blanco rd ,"['4523', 'blanco', 'rd']",4523,l michoacan meat market,blanco rd,blanco
365,la michoacana meat market #,2019-01-17,5,A,93,Link,78251,"7914 culebra rd san antonio, tx 782511408",7914 culebra rd ,"['7914', 'culebra', 'rd']",7914,l michoacan meat market #,culebra rd,culebra
366,la parrilla azteca,2019-01-17,27,C,86,Link,78204,"1521 flores st s san antonio, tx 782041620",1521 flores st s ,"['1521', 'flores', 'st', 's']",1521,l parrill azteca,flores st s,flores
367,las islas marias,2019-01-17,1,A,90,Link,78228,"1527 hillcrest dr san antonio, tx 782283860",1527 hillcrest dr ,"['1527', 'hillcrest', 'dr']",1527, is marias,hillcrest dr,hillcrest
368,las nieves tapatias,2019-01-17,5,A,97,Link,78250,"7491 grissom rd san antonio, tx 782502609",7491 grissom rd ,"['7491', 'grissom', 'rd']",7491, nieves tapatias,grissom rd,grissom
369,lees kitchen,2019-01-17,15,B,86,Link,78217,"11705 perrin beitel san antonio, tx 782170",11705 perrin beitel ,"['11705', 'perrin', 'beitel']",11705,lees kitchen,perrin beitel,perrin beitel
370,lindas mexican restaurant,2019-01-17,28,D,90,Link,78207,"1424 guadalupe st san antonio, tx 782075522",1424 guadalupe st ,"['1424', 'guadalupe', 'st']",1424,lindas mexic restaurant,guadalupe st,guadalupe
371,little caesars pizza #21,2019-01-17,32,D,94,Link,78242,"6020 old pearsall rd. #101 san antonio, tx 78242",6020 old pearsall rd. #101 ,"['6020', 'old', 'pearsall', 'rd.', '#101']",6020,little caesars pizz #21,old pearsall rd. #101,old pearsall. #101
372,little caesars pizza #23,2019-01-17,36,D,97,Link,78224,"2716 military dr sw san antonio, tx 782240",2716 military dr sw ,"['2716', 'military', 'dr', 'sw']",2716,little caesars pizz #23,military dr sw,militaryw
373,maria's tacos and pupusas,2019-01-17,29,D,98,Link,78237,"702 acme rd s san antonio, tx 782372411",702 acme rd s ,"['702', 'acme', 'rd', 's']",702,maria's tacos and pupusas,acme rd s,acme
374,marina's care home,2019-01-17,7,A,96,Link,78230,"3515 backbay st san antonio, tx 782303226",3515 backbay st ,"['3515', 'backbay', 'st']",3515,marina's care home,backbay st,backbay
375,mcdonald's #21339 #,2019-01-17,32,D,100,Link,78242,"6350 old pearsall san antonio, tx 782420",6350 old pearsall ,"['6350', 'old', 'pearsall']",6350,mcdonald's #21339 #,old pearsall,old pearsall
376,mcdonalds #,2019-01-17,12,B,98,Link,78232,"18146 blanco rd san antonio, tx 782320",18146 blanco rd ,"['18146', 'blanco', 'rd']",18146,mcdonalds #,blanco rd,blanco
377,mi guadalajara mexican grill #5,2019-01-17,1,A,84,Link,78228,"1962 bandera rd san antonio, tx 782280",1962 bandera rd ,"['1962', 'bandera', 'rd']",1962,mi guadalajar mexic grill #5,bandera rd,bandera
378,mi tierra cafe & bakery #,2019-01-17,27,C,89,Link,78207,"218 produce row san antonio, tx 782074554",218 produce row ,"['218', 'produce', 'row']",218,mi tierr cafe & bakery #,produce row,produce row
379,munchies,2019-01-17,27,C,97,Link,78207,"514 commerce st w san antonio, tx 782078122",514 commerce st w ,"['514', 'commerce', 'st', 'w']",514,munchies,commerce st w,commerce
380,new choices treatment centers,2019-01-17,18,B,99,Link,78209,"3050 eisenhauer rd san antonio, tx 78209",3050 eisenhauer rd ,"['3050', 'eisenhauer', 'rd']",3050,new choices treatment centers,eisenhauer rd,eisenhauer
381,oak ridge baptist church,2019-01-17,7,A,100,Link,78230,"10915 vance jackson san antonio, tx 782302505",10915 vance jackson ,"['10915', 'vance', 'jackson']",10915,oak ridge baptist church,vance jackson,vance jackson
382,pho garden,2019-01-17,25,C,90,Link,78223,"2535 military dr se san antonio, tx 782230",2535 military dr se ,"['2535', 'military', 'dr', 'se']",2535,pho garden,military dr se,militarye
383,pizza hut #27063,2019-01-17,36,D,93,Link,78221,"1008 military dr sw san antonio, tx 782211531",1008 military dr sw ,"['1008', 'military', 'dr', 'sw']",1008,pizz hut #27063,military dr sw,militaryw
384,pizza hut #27075,2019-01-17,27,C,95,Link,78207,"730 santa rosa s san antonio, tx 782073113",730 santa rosa s ,"['730', 'santa', 'rosa', 's']",730,pizz hut #27075,santa rosa s,santa rosa
385,pokeworks cantera,2019-01-17,3,A,99,Link,78256,"15900 la cantera parkway san antonio, tx 78256",15900 la cantera parkway ,"['15900', 'la', 'cantera', 'parkway']",15900,pokeworks cantera,la cantera parkway,la cantera parkway
386,popeyes chicken & biscuits,2019-01-17,7,A,96,Link,78230,"10131 wurzbach rd san antonio, tx 782302215",10131 wurzbach rd ,"['10131', 'wurzbach', 'rd']",10131,popeyes chicken & biscuits,wurzbach rd,wurzbach
387,potbelly drive-thru,2019-01-17,14,B,96,Link,78259,"21918 us hwy 281 n san antonio, tx 78259",21918 us hwy 281 n ,"['21918', 'us', 'hwy', '281', 'n']",21918,potbelly drive-thru,us hwy 281 n,us hwy 281
388,quick stuff,2019-01-17,29,D,96,Link,78227,"1214 old hwy 90 w san antonio, tx 782270",1214 old hwy 90 w ,"['1214', 'old', 'hwy', '90', 'w']",1214,quick stuff,old hwy 90 w,old hwy 90
389,raspados extra,2019-01-17,15,B,97,Link,78217,"13523 nacogdoches rd san antonio, tx 782171275",13523 nacogdoches rd ,"['13523', 'nacogdoches', 'rd']",13523,raspados extra,nacogdoches rd,nacogdoches
390,rodeway inn - six flags,2019-01-17,3,A,97,Link,78257,"19793 ih 10 w san antonio, tx 782570",19793 ih 10 w ,"['19793', 'ih', '10', 'w']",19793,rodeway inn - six flags,ih 10 w,ih 10
391,sandys mocha #,2019-01-17,7,A,100,Link,78229,"4502 medical dr san antonio, tx 782294402",4502 medical dr ,"['4502', 'medical', 'dr']",4502,sandys moch #,medical dr,medical
392,santikos embassy 14 theater #,2019-01-17,13,B,91,Link,78216,"13707 embassy row san antonio, tx 782162001",13707 embassy row ,"['13707', 'embassy', 'row']",13707,santikos embassy 14 theater #,embassy row,embassy row
393,sea island shrimp house,2019-01-17,26,C,88,Link,78224,"2119 military dr sw san antonio, tx 782241402",2119 military dr sw ,"['2119', 'military', 'dr', 'sw']",2119,se island shrimp house,military dr sw,militaryw
394,shell food mart,2019-01-17,29,D,99,Link,78237,"702 acme rd s san antonio, tx 782372411",702 acme rd s ,"['702', 'acme', 'rd', 's']",702,shell food mart,acme rd s,acme
395,speedy stop mart,2019-01-17,34,D,100,Link,78228,"1326 bandera rd san antonio, tx 782284001",1326 bandera rd ,"['1326', 'bandera', 'rd']",1326,speedy stop mart,bandera rd,bandera
396,speedy tacos,2019-01-17,28,D,87,Link,78207,"1823 martin st w san antonio, tx 782072650",1823 martin st w ,"['1823', 'martin', 'st', 'w']",1823,speedy tacos,martin st w,martin
397,starbucks #26991,2019-01-17,30,D,100,Link,78245,"9226 potranco rd san antonio, tx 78245",9226 potranco rd ,"['9226', 'potranco', 'rd']",9226,starbucks #26991,potranco rd,potranco
398,subway #52432,2019-01-17,29,D,100,Link,78237,"702 acme rd s san antonio, tx 782372411",702 acme rd s ,"['702', 'acme', 'rd', 's']",702,subway #52432,acme rd s,acme
399,taste thailand,2019-01-17,30,D,97,Link,78245,"9502 potranco rd san antonio, tx 782450",9502 potranco rd ,"['9502', 'potranco', 'rd']",9502,taste thailand,potranco rd,potranco
400,texas roadhouse,2019-01-17,25,C,94,Link,78223,"2751 military dr se san antonio, tx 782230",2751 military dr se ,"['2751', 'military', 'dr', 'se']",2751,texas roadhouse,military dr se,militarye
401,thai taste,2019-01-17,1,A,95,Link,78238,"5520 evers rd san antonio, tx 782381804",5520 evers rd ,"['5520', 'evers', 'rd']",5520,thai taste,evers rd,evers
402,the chaat house,2019-01-17,6,A,97,Link,78240,"9903 fredsbg rd san antonio, tx 782400",9903 fredsbg rd ,"['9903', 'fredsbg', 'rd']",9903, chaat house,fredsbg rd,fredsbg
403,the cheesecake factory,2019-01-17,3,A,98,Link,78256,"15900 la cantera parkway san antonio, tx 78256",15900 la cantera parkway ,"['15900', 'la', 'cantera', 'parkway']",15900, cheesecake factory,la cantera parkway,la cantera parkway
404,the dakota,2019-01-17,20,C,99,Link,78203,"433 hackberry st s san antonio, tx 782031227",433 hackberry st s ,"['433', 'hackberry', 'st', 's']",433, dakota,hackberry st s,hackberry
405,the fruteria y botanero chef johnny hernandez,2019-01-17,27,C,91,Link,78204,"1401 flores st s san antonio, tx 782041618",1401 flores st s ,"['1401', 'flores', 'st', 's']",1401, fruteri y botanero chef johnny hernandez,flores st s,flores
406,the gift shop,2019-01-17,27,C,100,Link,78207,"333 santa rosa n san antonio, tx 782070",333 santa rosa n ,"['333', 'santa', 'rosa', 'n']",333, gift shop,santa rosa n,santa rosa
407,the koffee kup company,2019-01-17,34,D,100,Link,78228,"1025 donaldson av san antonio, tx 782285102",1025 donaldson av ,"['1025', 'donaldson', 'av']",1025, koffee kup company,donaldson av,donaldson
408,the lowdown,2019-01-17,19,C,96,Link,78215,"312 pearl py san antonio, tx 782150",312 pearl py ,"['312', 'pearl', 'py']",312, lowdown,pearl py,pearl py
409,the original donut shop & tacos,2019-01-17,34,D,100,Link,78201,"3307 fredsbg rd san antonio, tx 782010",3307 fredsbg rd ,"['3307', 'fredsbg', 'rd']",3307, original donut shop & tacos,fredsbg rd,fredsbg
410,tokyo gardens catering,2019-01-17,26,C,98,Link,78214,"735 military dr sw san antonio, tx 782141642",735 military dr sw ,"['735', 'military', 'dr', 'sw']",735,tokyo gardens catering,military dr sw,militaryw
411,valero corner store # 171 #,2019-01-17,8,A,95,Link,78201,"1129 fresno st san antonio, tx 782014227",1129 fresno st ,"['1129', 'fresno', 'st']",1129,valero corner store # 171 #,fresno st,fresno
412,valero corner store #1053 #,2019-01-17,36,D,96,Link,78224,"12511 loop 410 sw san antonio, tx 782240",12511 loop 410 sw ,"['12511', 'loop', '410', 'sw']",12511,valero corner store #1053 #,loop 410 sw,loop 410w
413,walgreen's #15932,2019-01-17,15,B,100,Link,78216,"901 bitters rd san antonio, tx 782160",901 bitters rd ,"['901', 'bitters', 'rd']",901,walgreen's #15932,bitters rd,bitters
414,walmart market #5224,2019-01-17,4,A,100,Link,78249,"4226 de zavala rd san antonio, tx 78249",4226 de zavala rd ,"['4226', 'de', 'zavala', 'rd']",4226,walmart market #5224,de zavala rd,de zavala
415,wendys # 9645,2019-01-17,12,B,95,Link,78258,"18303 blanco rd san antonio, tx 782580",18303 blanco rd ,"['18303', 'blanco', 'rd']",18303,wendys # 9645,blanco rd,blanco
416,alamo dairy queen,2019-01-18,36,D,93,Link,78224,"9222 zarzamora st s san antonio, tx 782242340",9222 zarzamora st s ,"['9222', 'zarzamora', 'st', 's']",9222,alamo dairy queen,zarzamora st s,zarzamora
417,am stop,2019-01-18,27,C,93,Link,78210,"602 labor st san antonio, tx 782101314",602 labor st ,"['602', 'labor', 'st']",602,am stop,labor st,labor
418,arirang restaurant,2019-01-18,17,B,87,Link,78218,"2154 austin hwy san antonio, tx 782181834",2154 austin hwy ,"['2154', 'austin', 'hwy']",2154,arirang restaurant,austin hwy,austin hwy
419,belgian sweets,2019-01-18,22,C,92,Link,78205,"524 houston st e san antonio, tx 782050",524 houston st e ,"['524', 'houston', 'st', 'e']",524,belgi sweets,houston st e,houston
420,best western plus,2019-01-18,1,A,95,Link,78228,"4803 manitou dr san antonio, tx 782281131",4803 manitou dr ,"['4803', 'manitou', 'dr']",4803,best western plus,manitou dr,manitou
421,bill miller bbq #4,2019-01-18,8,A,95,Link,78213,"2110 jackson-keller san antonio, tx 782132701",2110 jackson-keller ,"['2110', 'jackson-keller']",2110,bill miller bbq #4,jackson-keller,jackson-keller
422,blue star brewing co & provisions,2019-01-18,27,C,90,Link,78204,"1414 alamo st s san antonio, tx 782040",1414 alamo st s ,"['1414', 'alamo', 'st', 's']",1414,blue star brewing co & provisions,alamo st s,alamo
423,cristans tacos #6,2019-01-18,17,B,97,Link,78218,"8054 midcrown dr e san antonio, tx 782182334",8054 midcrown dr e ,"['8054', 'midcrown', 'dr', 'e']",8054,cristans tacos #6,midcrown dr e,midcrown
424,don burger taco mexican restaurant,2019-01-18,36,D,96,Link,78211,"2103 palo alto rd san antonio, tx 782110",2103 palo alto rd ,"['2103', 'palo', 'alto', 'rd']",2103,d burger taco mexic restaurant,palo alto rd,palo alto
425,doubledave's pizzaworks,2019-01-18,30,D,99,Link,78251,"8802 potranco rd san antonio, tx 782510",8802 potranco rd ,"['8802', 'potranco', 'rd']",8802,doubledave's pizzaworks,potranco rd,potranco
426,family dollar#31258,2019-01-18,24,C,100,Link,78222,"3106 ww white rd s san antonio, tx 78222",3106 ww white rd s ,"['3106', 'ww', 'white', 'rd', 's']",3106,family dollar#31258,ww white rd s,wwhite
427,gin chinese restaurant,2019-01-18,1,A,90,Link,78229,"5337 glen ridge dr san antonio, tx 782295480",5337 glen ridge dr ,"['5337', 'glen', 'ridge', 'dr']",5337,g chinese restaurant,glen ridge dr,glen ridge
428,grady's bar b q,2019-01-18,21,C,87,Link,78219,"3619 ih 35 n san antonio, tx 782192321",3619 ih 35 n ,"['3619', 'ih', '35', 'n']",3619,grady's bar b q,ih 35 n,ih 35
429,il forno,2019-01-18,27,C,90,Link,78204,"122 nogalitos st san antonio, tx 782041629",122 nogalitos st ,"['122', 'nogalitos', 'st']",122,il forno,nogalitos st,nogalitos
430,joy buffet,2019-01-18,31,D,100,Link,78238,"5830 bandera rd san antonio, tx 782381919",5830 bandera rd ,"['5830', 'bandera', 'rd']",5830,joy buffet,bandera rd,bandera
431,korean restaurant,2019-01-18,17,B,87,Link,78218,"2458 harry wurzbach san antonio, tx 782185052",2458 harry wurzbach ,"['2458', 'harry', 'wurzbach']",2458,kore restaurant,harry wurzbach,harryurzbach
432,la comarca mexican restaurant,2019-01-18,8,A,77,Link,78213,"5131 west av san antonio, tx 782132713",5131 west av ,"['5131', 'west', 'av']",5131,l comarc mexic restaurant,west av,west
433,la paloma de paz emergency womens #shelter,2019-01-18,32,D,100,Link,78227,"7404 new hwy 90 w san antonio, tx 782270",7404 new hwy 90 w ,"['7404', 'new', 'hwy', '90', 'w']",7404,l palom  paz emergency womens #shelter,new hwy 90 w,new hwy 90
434,la quinta hotel,2019-01-18,25,C,98,Link,78223,"3180 goliad rd san antonio, tx 782234301",3180 goliad rd ,"['3180', 'goliad', 'rd']",3180,l quint hotel,goliad rd,goliad
435,little jamaica foods bar & grill,2019-01-18,17,B,94,Link,78218,"5490 walzem rd san antonio, tx 782182125",5490 walzem rd ,"['5490', 'walzem', 'rd']",5490,little jamaic foods bar & grill,walzem rd,walzem
436,ma harpers creole kitchen,2019-01-18,20,C,96,Link,78208,"1816 new brnfls n san antonio, tx 782081528",1816 new brnfls n ,"['1816', 'new', 'brnfls', 'n']",1816,m harpers creole kitchen,new brnfls n,new brnfls
437,murphy usa #7462,2019-01-18,30,D,100,Link,78253,"11302 potranco rd san antonio, tx 78253",11302 potranco rd ,"['11302', 'potranco', 'rd']",11302,murphy us #7462,potranco rd,potranco
438,oh yeah cakes,2019-01-18,18,B,100,Link,78212,"5257 mc cullough av san antonio, tx 782121642",5257 mc cullough av ,"['5257', 'mc', 'cullough', 'av']",5257,oh yeah cakes,mc cullough av,mc cullough
439,panda express #921 #,2019-01-18,25,C,97,Link,78223,"3207 military dr se san antonio, tx 782230",3207 military dr se ,"['3207', 'military', 'dr', 'se']",3207,pand express #921 #,military dr se,militarye
440,papa john's pizza #2750,2019-01-18,4,A,94,Link,78248,"2602 n fm 1604 w san antonio, tx 782480",2602 n fm 1604 w ,"['2602', 'n', 'fm', '1604', 'w']",2602,pap john's pizz #2750,n fm 1604 w,n fm 1604
441,paramount senior care center san antonio,2019-01-18,17,B,94,Link,78218,"5437 eisenhauer rd san antonio, tx 782180",5437 eisenhauer rd ,"['5437', 'eisenhauer', 'rd']",5437,paramount senior care center s antonio,eisenhauer rd,eisenhauer
442,peter piper pizza #563 #,2019-01-18,25,C,100,Link,78223,"3131 military dr se san antonio, tx 782230",3131 military dr se ,"['3131', 'military', 'dr', 'se']",3131,peter piper pizz #563 #,military dr se,militarye
443,piccolos italian rest,2019-01-18,1,A,82,Link,78229,"5703 evers rd san antonio, tx 782291718",5703 evers rd ,"['5703', 'evers', 'rd']",5703,picco itali rest,evers rd,evers
444,pico de gallo #,2019-01-18,27,C,90,Link,78207,"111 leona st s san antonio, tx 782074417",111 leona st s ,"['111', 'leona', 'st', 's']",111,pico  gallo #,leona st s,leona
445,pinch boil house and bia bar,2019-01-18,27,C,81,Link,78205,"124 main av n san antonio, tx 782052402",124 main av n ,"['124', 'main', 'av', 'n']",124,pinch boil house and bi bar,main av n,main
446,poblanos main mexican restaurant,2019-01-18,27,C,94,Link,78205,"115 main plaza san antonio, tx 782050",115 main plaza ,"['115', 'main', 'plaza']",115,poblanos m mexic restaurant,main plaza,main plaza
447,popeyes,2019-01-18,26,C,93,Link,78224,"2225 military dr sw san antonio, tx 782240",2225 military dr sw ,"['2225', 'military', 'dr', 'sw']",2225,popeyes,military dr sw,militaryw
448,rocks discount vitamins n more,2019-01-18,30,D,98,Link,78251,"8802 potranco rd san antonio, tx 782510",8802 potranco rd ,"['8802', 'potranco', 'rd']",8802,rocks discount vitamins n more,potranco rd,potranco
449,sonic #2869,2019-01-18,11,B,91,Link,78216,"6523 san pedro av san antonio, tx 782167214",6523 san pedro av ,"['6523', 'san', 'pedro', 'av']",6523,sonic #2869,san pedro av,san pedro
450,sonic #5214,2019-01-18,23,C,100,Link,78225,"4623 ih 35 s san antonio, tx 782252437",4623 ih 35 s ,"['4623', 'ih', '35', 's']",4623,sonic #5214,ih 35 s,ih 35
451,sonic #5391,2019-01-18,4,A,98,Link,78257,"24039 old fredsbg rd san antonio, tx 782570",24039 old fredsbg rd ,"['24039', 'old', 'fredsbg', 'rd']",24039,sonic #5391,old fredsbg rd,old fredsbg
452,south san senior center,2019-01-18,32,D,100,Link,78211,"503 lovett av san antonio, tx 782112817",503 lovett av ,"['503', 'lovett', 'av']",503,south s senior center,lovett av,lovett
453,target #1852,2019-01-18,25,C,94,Link,78223,"3227 military dr se san antonio, tx 782230",3227 military dr se ,"['3227', 'military', 'dr', 'se']",3227,target #1852,military dr se,militarye
454,thai hut restaurant,2019-01-18,4,A,97,Link,78248,"2602 n fm 1604 w san antonio, tx 782480",2602 n fm 1604 w ,"['2602', 'n', 'fm', '1604', 'w']",2602,thai hut restaurant,n fm 1604 w,n fm 1604
455,the spot nutrition,2019-01-18,32,D,100,Link,78211,"211 palo alto rd san antonio, tx 782113738",211 palo alto rd ,"['211', 'palo', 'alto', 'rd']",211, spot nutrition,palo alto rd,palo alto
456,timewise food store #9901,2019-01-18,26,C,97,Link,78211,"5815 ih 35 s san antonio, tx 782112245",5815 ih 35 s ,"['5815', 'ih', '35', 's']",5815,timewise food store #9901,ih 35 s,ih 35
457,valero corner store #1027 #,2019-01-18,21,C,99,Link,78220,"5239 rigsby av san antonio, tx 782200",5239 rigsby av ,"['5239', 'rigsby', 'av']",5239,valero corner store #1027 #,rigsby av,rigsby
458,valero corner store #2466,2019-01-18,15,B,97,Link,78247,"12602 jones maltsbrg san antonio, tx 782474211",12602 jones maltsbrg ,"['12602', 'jones', 'maltsbrg']",12602,valero corner store #2466,jones maltsbrg,jones maltsbrg
459,vfw post #1533,2019-01-18,18,B,99,Link,78209,"107 elmhurst ave san antonio, tx 782096524",107 elmhurst ave ,"['107', 'elmhurst', 'ave']",107,vfw post #1533,elmhurst ave,elmhurste
460,walters food mart,2019-01-18,20,C,97,Link,78202,"2106 burnet st san antonio, tx 782022601",2106 burnet st ,"['2106', 'burnet', 'st']",2106,walters food mart,burnet st,burnet
461,whataburger #834,2019-01-18,25,C,100,Link,78223,"3239 military dr se san antonio, tx 782230",3239 military dr se ,"['3239', 'military', 'dr', 'se']",3239,whataburger #834,military dr se,militarye
462,willie m. cortez senior center,2019-01-18,32,D,100,Link,78242,"5512 military dr w san antonio, tx 782421107",5512 military dr w ,"['5512', 'military', 'dr', 'w']",5512,willie m. cortez senior center,military dr w,military
463,el valle molino,2019-01-19,32,D,98,Link,78242,"5658 old pearsall san antonio, tx 782420",5658 old pearsall ,"['5658', 'old', 'pearsall']",5658, valle molino,old pearsall,old pearsall
464,rios barbacoa #,2019-01-19,32,D,100,Link,78242,"6010 old pearsall san antonio, tx 782420",6010 old pearsall ,"['6010', 'old', 'pearsall']",6010,rios barbaco #,old pearsall,old pearsall
465,ruben's fruit cups,2019-01-19,32,D,91,Link,78227,"7475 military dr w san antonio, tx 782272969",7475 military dr w ,"['7475', 'military', 'dr', 'w']",7475,ruben's fruit cups,military dr w,military
466,7-eleven # 37080,2019-01-22,5,A,98,Link,78251,"8058 culebra rd san antonio, tx 782510",8058 culebra rd ,"['8058', 'culebra', 'rd']",8058,7-eleven # 37080,culebra rd,culebra
467,american food & vending services missouri @ zachary,2019-01-22,36,D,99,Link,78221,"527 logwood av san antonio, tx 782211738",527 logwood av ,"['527', 'logwood', 'av']",527,americ food & vending services missouri @ zachary,logwood av,logwood
468,auntie anne's pretzels (kiosk),2019-01-22,3,A,99,Link,78256,"15900 la cantera parkway san antonio, tx 78256",15900 la cantera parkway ,"['15900', 'la', 'cantera', 'parkway']",15900,auntie anne's pretzels (kiosk),la cantera parkway,la cantera parkway
469,basis san antonio shavano camp,2019-01-22,4,A,100,Link,78249,"4114 lockhill selma san antonio, tx 78249",4114 lockhill selma ,"['4114', 'lockhill', 'selma']",4114,basis s antonio shavano camp,lockhill selma,lockhillelma
470,bill miller bbq #40,2019-01-22,11,B,87,Link,78216,"8403 mc cullough av san antonio, tx 782166443",8403 mc cullough av ,"['8403', 'mc', 'cullough', 'av']",8403,bill miller bbq #40,mc cullough av,mc cullough
471,bite restaurant,2019-01-22,27,C,96,Link,78210,"1012 presa st s san antonio, tx 782101360",1012 presa st s ,"['1012', 'presa', 'st', 's']",1012,bite restaurant,presa st s,presa
472,bliss restaurant,2019-01-22,27,C,96,Link,78210,"926 presa st s san antonio, tx 782101377",926 presa st s ,"['926', 'presa', 'st', 's']",926,bliss restaurant,presa st s,presa
473,bud jones cafe,2019-01-22,36,D,94,Link,78221,"1440 military dr sw san antonio, tx 782211556",1440 military dr sw ,"['1440', 'military', 'dr', 'sw']",1440,bud jones cafe,military dr sw,militaryw
474,bunuelos pastries,2019-01-22,8,A,100,Link,78201,"1905 west av san antonio, tx 782013555",1905 west av ,"['1905', 'west', 'av']",1905,bunue pastries,west av,west
